dummy 	 x 	 y 	 A 
sha10_new 	 -70 	 -70 	 1.001656 
sha10_new 	 -70 	 -69 	 1.001721 
sha10_new 	 -70 	 -68 	 1.001788 
sha10_new 	 -70 	 -67 	 1.001857 
sha10_new 	 -70 	 -66 	 1.001929 
sha10_new 	 -70 	 -65 	 1.002002 
sha10_new 	 -70 	 -64 	 1.002078 
sha10_new 	 -70 	 -63 	 1.002155 
sha10_new 	 -70 	 -62 	 1.002235 
sha10_new 	 -70 	 -61 	 1.002317 
sha10_new 	 -70 	 -60 	 1.002402 
sha10_new 	 -70 	 -59 	 1.002488 
sha10_new 	 -70 	 -58 	 1.002577 
sha10_new 	 -70 	 -57 	 1.002668 
sha10_new 	 -70 	 -56 	 1.002761 
sha10_new 	 -70 	 -55 	 1.002856 
sha10_new 	 -70 	 -54 	 1.002953 
sha10_new 	 -70 	 -53 	 1.003053 
sha10_new 	 -70 	 -52 	 1.003154 
sha10_new 	 -70 	 -51 	 1.003258 
sha10_new 	 -70 	 -50 	 1.003363 
sha10_new 	 -70 	 -49 	 1.003471 
sha10_new 	 -70 	 -48 	 1.003580 
sha10_new 	 -70 	 -47 	 1.003691 
sha10_new 	 -70 	 -46 	 1.003804 
sha10_new 	 -70 	 -45 	 1.003918 
sha10_new 	 -70 	 -44 	 1.004034 
sha10_new 	 -70 	 -43 	 1.004152 
sha10_new 	 -70 	 -42 	 1.004270 
sha10_new 	 -70 	 -41 	 1.004390 
sha10_new 	 -70 	 -40 	 1.004511 
sha10_new 	 -70 	 -39 	 1.004633 
sha10_new 	 -70 	 -38 	 1.004756 
sha10_new 	 -70 	 -37 	 1.004880 
sha10_new 	 -70 	 -36 	 1.005004 
sha10_new 	 -70 	 -35 	 1.005128 
sha10_new 	 -70 	 -34 	 1.005252 
sha10_new 	 -70 	 -33 	 1.005376 
sha10_new 	 -70 	 -32 	 1.005500 
sha10_new 	 -70 	 -31 	 1.005624 
sha10_new 	 -70 	 -30 	 1.005747 
sha10_new 	 -70 	 -29 	 1.005869 
sha10_new 	 -70 	 -28 	 1.005990 
sha10_new 	 -70 	 -27 	 1.006109 
sha10_new 	 -70 	 -26 	 1.006227 
sha10_new 	 -70 	 -25 	 1.006344 
sha10_new 	 -70 	 -24 	 1.006458 
sha10_new 	 -70 	 -23 	 1.006570 
sha10_new 	 -70 	 -22 	 1.006679 
sha10_new 	 -70 	 -21 	 1.006786 
sha10_new 	 -70 	 -20 	 1.006889 
sha10_new 	 -70 	 -19 	 1.006990 
sha10_new 	 -70 	 -18 	 1.007087 
sha10_new 	 -70 	 -17 	 1.007180 
sha10_new 	 -70 	 -16 	 1.007269 
sha10_new 	 -70 	 -15 	 1.007354 
sha10_new 	 -70 	 -14 	 1.007435 
sha10_new 	 -70 	 -13 	 1.007511 
sha10_new 	 -70 	 -12 	 1.007583 
sha10_new 	 -70 	 -11 	 1.007649 
sha10_new 	 -70 	 -10 	 1.007710 
sha10_new 	 -70 	 -9 	 1.007766 
sha10_new 	 -70 	 -8 	 1.007817 
sha10_new 	 -70 	 -7 	 1.007862 
sha10_new 	 -70 	 -6 	 1.007901 
sha10_new 	 -70 	 -5 	 1.007934 
sha10_new 	 -70 	 -4 	 1.007962 
sha10_new 	 -70 	 -3 	 1.007983 
sha10_new 	 -70 	 -2 	 1.007999 
sha10_new 	 -70 	 -1 	 1.008008 
sha10_new 	 -70 	 0 	 1.008011 
