dummy 	 x 	 y 	 A 
sha10_new 	 -70 	 -70 	 1.000599 
sha10_new 	 -70 	 -69 	 1.000622 
sha10_new 	 -70 	 -68 	 1.000646 
sha10_new 	 -70 	 -67 	 1.000671 
sha10_new 	 -70 	 -66 	 1.000697 
sha10_new 	 -70 	 -65 	 1.000724 
sha10_new 	 -70 	 -64 	 1.000751 
sha10_new 	 -70 	 -63 	 1.000779 
sha10_new 	 -70 	 -62 	 1.000808 
sha10_new 	 -70 	 -61 	 1.000838 
sha10_new 	 -70 	 -60 	 1.000868 
sha10_new 	 -70 	 -59 	 1.000899 
sha10_new 	 -70 	 -58 	 1.000931 
sha10_new 	 -70 	 -57 	 1.000964 
sha10_new 	 -70 	 -56 	 1.000998 
sha10_new 	 -70 	 -55 	 1.001032 
sha10_new 	 -70 	 -54 	 1.001067 
sha10_new 	 -70 	 -53 	 1.001103 
sha10_new 	 -70 	 -52 	 1.001140 
sha10_new 	 -70 	 -51 	 1.001177 
sha10_new 	 -70 	 -50 	 1.001215 
sha10_new 	 -70 	 -49 	 1.001254 
sha10_new 	 -70 	 -48 	 1.001294 
sha10_new 	 -70 	 -47 	 1.001334 
sha10_new 	 -70 	 -46 	 1.001374 
sha10_new 	 -70 	 -45 	 1.001416 
sha10_new 	 -70 	 -44 	 1.001458 
sha10_new 	 -70 	 -43 	 1.001500 
sha10_new 	 -70 	 -42 	 1.001543 
sha10_new 	 -70 	 -41 	 1.001586 
sha10_new 	 -70 	 -40 	 1.001630 
sha10_new 	 -70 	 -39 	 1.001674 
sha10_new 	 -70 	 -38 	 1.001718 
sha10_new 	 -70 	 -37 	 1.001762 
sha10_new 	 -70 	 -36 	 1.001807 
sha10_new 	 -70 	 -35 	 1.001852 
sha10_new 	 -70 	 -34 	 1.001897 
sha10_new 	 -70 	 -33 	 1.001942 
sha10_new 	 -70 	 -32 	 1.001986 
sha10_new 	 -70 	 -31 	 1.002031 
sha10_new 	 -70 	 -30 	 1.002075 
sha10_new 	 -70 	 -29 	 1.002119 
sha10_new 	 -70 	 -28 	 1.002163 
sha10_new 	 -70 	 -27 	 1.002206 
sha10_new 	 -70 	 -26 	 1.002248 
sha10_new 	 -70 	 -25 	 1.002290 
sha10_new 	 -70 	 -24 	 1.002331 
sha10_new 	 -70 	 -23 	 1.002372 
sha10_new 	 -70 	 -22 	 1.002411 
