dummy 	 x 	 y 	 A 
sha10_new 	 -70 	 -70 	 1.001865 
sha10_new 	 -70 	 -69 	 1.001938 
sha10_new 	 -70 	 -68 	 1.002014 
sha10_new 	 -70 	 -67 	 1.002092 
sha10_new 	 -70 	 -66 	 1.002172 
sha10_new 	 -70 	 -65 	 1.002255 
sha10_new 	 -70 	 -64 	 1.002340 
sha10_new 	 -70 	 -63 	 1.002427 
sha10_new 	 -70 	 -62 	 1.002517 
sha10_new 	 -70 	 -61 	 1.002610 
sha10_new 	 -70 	 -60 	 1.002705 
sha10_new 	 -70 	 -59 	 1.002802 
sha10_new 	 -70 	 -58 	 1.002902 
sha10_new 	 -70 	 -57 	 1.003005 
sha10_new 	 -70 	 -56 	 1.003109 
sha10_new 	 -70 	 -55 	 1.003217 
sha10_new 	 -70 	 -54 	 1.003326 
sha10_new 	 -70 	 -53 	 1.003438 
sha10_new 	 -70 	 -52 	 1.003553 
sha10_new 	 -70 	 -51 	 1.003669 
sha10_new 	 -70 	 -50 	 1.003788 
sha10_new 	 -70 	 -49 	 1.003909 
sha10_new 	 -70 	 -48 	 1.004032 
sha10_new 	 -70 	 -47 	 1.004157 
sha10_new 	 -70 	 -46 	 1.004285 
sha10_new 	 -70 	 -45 	 1.004414 
sha10_new 	 -70 	 -44 	 1.004544 
sha10_new 	 -70 	 -43 	 1.004677 
sha10_new 	 -70 	 -42 	 1.004810 
sha10_new 	 -70 	 -41 	 1.004945 
sha10_new 	 -70 	 -40 	 1.005082 
sha10_new 	 -70 	 -39 	 1.005219 
sha10_new 	 -70 	 -38 	 1.005358 
sha10_new 	 -70 	 -37 	 1.005497 
sha10_new 	 -70 	 -36 	 1.005636 
sha10_new 	 -70 	 -35 	 1.005776 
sha10_new 	 -70 	 -34 	 1.005916 
sha10_new 	 -70 	 -33 	 1.006056 
sha10_new 	 -70 	 -32 	 1.006196 
sha10_new 	 -70 	 -31 	 1.006335 
sha10_new 	 -70 	 -30 	 1.006474 
sha10_new 	 -70 	 -29 	 1.006611 
sha10_new 	 -70 	 -28 	 1.006748 
sha10_new 	 -70 	 -27 	 1.006882 
sha10_new 	 -70 	 -26 	 1.007015 
