dummy 	 x 	 y 	 A 
som97 	 -70 	 -70 	 0.662110 
som97 	 -70 	 -69 	 0.661497 
som97 	 -70 	 -68 	 0.660871 
som97 	 -70 	 -67 	 0.660233 
som97 	 -70 	 -66 	 0.659582 
som97 	 -70 	 -65 	 0.658918 
som97 	 -70 	 -64 	 0.658240 
som97 	 -70 	 -63 	 0.657548 
som97 	 -70 	 -62 	 0.656842 
som97 	 -70 	 -61 	 0.656121 
som97 	 -70 	 -60 	 0.655386 
som97 	 -70 	 -59 	 0.654636 
som97 	 -70 	 -58 	 0.653870 
som97 	 -70 	 -57 	 0.653089 
som97 	 -70 	 -56 	 0.652291 
som97 	 -70 	 -55 	 0.651478 
som97 	 -70 	 -54 	 0.650648 
som97 	 -70 	 -53 	 0.649801 
som97 	 -70 	 -52 	 0.648937 
som97 	 -70 	 -51 	 0.648055 
som97 	 -70 	 -50 	 0.647156 
som97 	 -70 	 -49 	 0.646238 
som97 	 -70 	 -48 	 0.645302 
som97 	 -70 	 -47 	 0.644347 
som97 	 -70 	 -46 	 0.643373 
som97 	 -70 	 -45 	 0.642380 
som97 	 -70 	 -44 	 0.641367 
som97 	 -70 	 -43 	 0.640334 
som97 	 -70 	 -42 	 0.639281 
som97 	 -70 	 -41 	 0.638207 
som97 	 -70 	 -40 	 0.637113 
som97 	 -70 	 -39 	 0.635997 
som97 	 -70 	 -38 	 0.634860 
som97 	 -70 	 -37 	 0.633702 
som97 	 -70 	 -36 	 0.632521 
som97 	 -70 	 -35 	 0.631319 
som97 	 -70 	 -34 	 0.630094 
som97 	 -70 	 -33 	 0.628847 
som97 	 -70 	 -32 	 0.627577 
som97 	 -70 	 -31 	 0.626285 
som97 	 -70 	 -30 	 0.624969 
som97 	 -70 	 -29 	 0.623631 
som97 	 -70 	 -28 	 0.622269 
som97 	 -70 	 -27 	 0.620884 
som97 	 -70 	 -26 	 0.619476 
som97 	 -70 	 -25 	 0.618045 
som97 	 -70 	 -24 	 0.616590 
som97 	 -70 	 -23 	 0.615112 
som97 	 -70 	 -22 	 0.613611 
som97 	 -70 	 -21 	 0.612087 
som97 	 -70 	 -20 	 0.610540 
som97 	 -70 	 -19 	 0.608970 
som97 	 -70 	 -18 	 0.607378 
som97 	 -70 	 -17 	 0.605763 
som97 	 -70 	 -16 	 0.604127 
som97 	 -70 	 -15 	 0.602469 
som97 	 -70 	 -14 	 0.600789 
som97 	 -70 	 -13 	 0.599089 
som97 	 -70 	 -12 	 0.597369 
som97 	 -70 	 -11 	 0.595628 
som97 	 -70 	 -10 	 0.593868 
som97 	 -70 	 -9 	 0.592090 
som97 	 -70 	 -8 	 0.590293 
som97 	 -70 	 -7 	 0.588479 
som97 	 -70 	 -6 	 0.586649 
som97 	 -70 	 -5 	 0.584802 
som97 	 -70 	 -4 	 0.582940 
som97 	 -70 	 -3 	 0.581064 
som97 	 -70 	 -2 	 0.579175 
som97 	 -70 	 -1 	 0.577273 
som97 	 -70 	 0 	 0.575360 
som97 	 -70 	 1 	 0.571571 
som97 	 -70 	 2 	 0.568046 
som97 	 -70 	 3 	 0.564786 
som97 	 -70 	 4 	 0.561789 
som97 	 -70 	 5 	 0.559055 
som97 	 -70 	 6 	 0.556583 
som97 	 -70 	 7 	 0.554373 
som97 	 -70 	 8 	 0.552424 
som97 	 -70 	 9 	 0.550736 
som97 	 -70 	 10 	 0.549309 
som97 	 -70 	 11 	 0.548142 
som97 	 -70 	 12 	 0.547236 
som97 	 -70 	 13 	 0.546589 
som97 	 -70 	 14 	 0.546202 
som97 	 -70 	 15 	 0.546074 
som97 	 -70 	 16 	 0.546207 
som97 	 -70 	 17 	 0.546599 
som97 	 -70 	 18 	 0.547250 
som97 	 -70 	 19 	 0.548162 
som97 	 -70 	 20 	 0.549334 
som97 	 -70 	 21 	 0.550765 
som97 	 -70 	 22 	 0.552458 
som97 	 -70 	 23 	 0.554411 
som97 	 -70 	 24 	 0.556626 
som97 	 -70 	 25 	 0.559103 
som97 	 -70 	 26 	 0.561842 
som97 	 -70 	 27 	 0.564843 
som97 	 -70 	 28 	 0.568109 
som97 	 -70 	 29 	 0.571638 
som97 	 -70 	 30 	 0.575432 
som97 	 -70 	 31 	 0.579492 
som97 	 -70 	 32 	 0.583819 
som97 	 -70 	 33 	 0.588413 
som97 	 -70 	 34 	 0.593275 
som97 	 -70 	 35 	 0.598407 
som97 	 -70 	 36 	 0.603809 
som97 	 -70 	 37 	 0.609484 
som97 	 -70 	 38 	 0.615431 
som97 	 -70 	 39 	 0.621652 
som97 	 -70 	 40 	 0.628150 
som97 	 -70 	 41 	 0.635292 
som97 	 -70 	 42 	 0.642362 
som97 	 -70 	 43 	 0.649712 
som97 	 -70 	 44 	 0.657345 
som97 	 -70 	 45 	 0.665261 
som97 	 -70 	 46 	 0.673463 
som97 	 -70 	 47 	 0.681953 
som97 	 -70 	 48 	 0.690733 
som97 	 -70 	 49 	 0.699804 
som97 	 -70 	 50 	 0.709170 
som97 	 -70 	 51 	 0.718832 
som97 	 -70 	 52 	 0.728792 
som97 	 -70 	 53 	 0.739053 
som97 	 -70 	 54 	 0.749618 
som97 	 -70 	 55 	 0.760489 
som97 	 -70 	 56 	 0.771669 
som97 	 -70 	 57 	 0.783160 
som97 	 -70 	 58 	 0.794966 
som97 	 -70 	 59 	 0.807089 
som97 	 -70 	 60 	 0.819534 
som97 	 -70 	 61 	 0.832301 
som97 	 -70 	 62 	 0.845396 
som97 	 -70 	 63 	 0.858822 
som97 	 -70 	 64 	 0.872581 
som97 	 -70 	 65 	 0.886678 
som97 	 -70 	 66 	 0.901117 
som97 	 -70 	 67 	 0.915900 
som97 	 -70 	 68 	 0.931033 
som97 	 -70 	 69 	 0.946519 
som97 	 -70 	 70 	 0.962362 
som97 	 -70 	 71 	 0.978567 
som97 	 -70 	 72 	 0.995138 
som97 	 -70 	 73 	 1.012079 
som97 	 -70 	 74 	 1.029395 
som97 	 -70 	 75 	 1.047092 
som97 	 -70 	 76 	 1.065173 
som97 	 -70 	 77 	 1.083644 
som97 	 -70 	 78 	 1.102510 
som97 	 -70 	 79 	 1.121776 
som97 	 -70 	 80 	 1.140156 
som97 	 -70 	 81 	 1.147033 
som97 	 -70 	 82 	 1.153805 
som97 	 -70 	 83 	 1.160472 
som97 	 -70 	 84 	 1.167036 
som97 	 -70 	 85 	 1.173496 
som97 	 -70 	 86 	 1.179853 
som97 	 -70 	 87 	 1.186110 
som97 	 -70 	 88 	 1.192266 
som97 	 -70 	 89 	 1.198322 
som97 	 -70 	 90 	 1.204280 
som97 	 -70 	 91 	 1.210141 
som97 	 -70 	 92 	 1.215905 
som97 	 -70 	 93 	 1.221575 
som97 	 -70 	 94 	 1.227150 
som97 	 -70 	 95 	 1.232633 
som97 	 -70 	 96 	 1.238024 
som97 	 -70 	 97 	 1.243326 
som97 	 -70 	 98 	 1.248538 
som97 	 -70 	 99 	 1.253662 
som97 	 -70 	 100 	 1.258700 
som97 	 -70 	 101 	 1.263652 
