dummy 	 x 	 y 	 A 
row10 	 0 	 -70 	 1.000000 
row10 	 0 	 -69 	 1.000000 
row10 	 0 	 -68 	 1.000000 
row10 	 0 	 -67 	 1.000000 
row10 	 0 	 -66 	 1.000000 
row10 	 0 	 -65 	 1.000000 
row10 	 0 	 -64 	 1.000000 
row10 	 0 	 -63 	 1.000000 
row10 	 0 	 -62 	 1.000000 
row10 	 0 	 -61 	 1.000000 
row10 	 0 	 -60 	 1.000000 
row10 	 0 	 -59 	 1.000000 
row10 	 0 	 -58 	 1.000000 
row10 	 0 	 -57 	 1.000000 
row10 	 0 	 -56 	 1.000000 
row10 	 0 	 -55 	 1.000000 
row10 	 0 	 -54 	 1.000000 
row10 	 0 	 -53 	 1.000000 
row10 	 0 	 -52 	 1.000000 
row10 	 0 	 -51 	 1.000000 
row10 	 0 	 -50 	 1.000000 
row10 	 0 	 -49 	 1.000000 
row10 	 0 	 -48 	 1.000000 
row10 	 0 	 -47 	 1.000000 
row10 	 0 	 -46 	 1.000000 
row10 	 0 	 -45 	 1.000000 
row10 	 0 	 -44 	 1.000000 
row10 	 0 	 -43 	 1.000000 
row10 	 0 	 -42 	 1.000000 
row10 	 0 	 -41 	 1.000000 
row10 	 0 	 -40 	 1.000000 
row10 	 0 	 -39 	 1.000000 
row10 	 0 	 -38 	 1.000000 
row10 	 0 	 -37 	 1.000000 
row10 	 0 	 -36 	 0.993605 
row10 	 0 	 -35 	 0.986726 
row10 	 0 	 -34 	 0.979726 
row10 	 0 	 -33 	 0.972603 
row10 	 0 	 -32 	 0.965352 
row10 	 0 	 -31 	 0.957969 
row10 	 0 	 -30 	 0.950450 
row10 	 0 	 -29 	 0.942791 
row10 	 0 	 -28 	 0.934988 
row10 	 0 	 -27 	 0.927038 
row10 	 0 	 -26 	 0.918938 
row10 	 0 	 -25 	 0.910683 
row10 	 0 	 -24 	 0.902273 
row10 	 0 	 -23 	 0.893705 
row10 	 0 	 -22 	 0.884979 
row10 	 0 	 -21 	 0.876096 
row10 	 0 	 -20 	 0.867059 
row10 	 0 	 -19 	 0.857875 
row10 	 0 	 -18 	 0.848553 
row10 	 0 	 -17 	 0.839107 
row10 	 0 	 -16 	 0.829558 
row10 	 0 	 -15 	 0.819935 
row10 	 0 	 -14 	 0.810277 
row10 	 0 	 -13 	 0.800637 
row10 	 0 	 -12 	 0.791088 
row10 	 0 	 -11 	 0.781726 
row10 	 0 	 -10 	 0.772677 
row10 	 0 	 -9 	 0.764106 
row10 	 0 	 -8 	 0.756225 
row10 	 0 	 -7 	 0.749304 
row10 	 0 	 -6 	 0.743677 
row10 	 0 	 -5 	 0.739732 
row10 	 0 	 -4 	 0.737881 
row10 	 0 	 -3 	 0.738419 
row10 	 0 	 -2 	 0.772538 
row10 	 0 	 -1 	 0.812348 
row10 	 0 	 0 	 0.858295 
row10 	 0 	 1 	 0.910614 
row10 	 0 	 2 	 0.969213 
row10 	 0 	 3 	 1.033530 
row10 	 0 	 4 	 1.102400 
row10 	 0 	 5 	 1.174060 
row10 	 0 	 6 	 1.246310 
row10 	 0 	 7 	 1.316850 
row10 	 0 	 8 	 1.383660 
row10 	 0 	 9 	 1.445320 
row10 	 0 	 10 	 1.432780 
row10 	 0 	 11 	 1.418210 
row10 	 0 	 12 	 1.401610 
row10 	 0 	 13 	 1.383520 
row10 	 0 	 14 	 1.364530 
row10 	 0 	 15 	 1.345160 
row10 	 0 	 16 	 1.325770 
row10 	 0 	 17 	 1.306650 
row10 	 0 	 18 	 1.287970 
row10 	 0 	 19 	 1.269870 
row10 	 0 	 20 	 1.252410 
row10 	 0 	 21 	 1.235620 
row10 	 0 	 22 	 1.219510 
row10 	 0 	 23 	 1.204090 
row10 	 0 	 24 	 1.189330 
row10 	 0 	 25 	 1.175210 
row10 	 0 	 26 	 1.161710 
row10 	 0 	 27 	 1.148790 
row10 	 0 	 28 	 1.136420 
row10 	 0 	 29 	 1.124580 
row10 	 0 	 30 	 1.113230 
row10 	 0 	 31 	 1.102350 
row10 	 0 	 32 	 1.091810 
row10 	 0 	 33 	 1.081560 
row10 	 0 	 34 	 1.071770 
row10 	 0 	 35 	 1.062410 
row10 	 0 	 36 	 1.053440 
row10 	 0 	 37 	 1.044840 
row10 	 0 	 38 	 1.036580 
row10 	 0 	 39 	 1.028630 
row10 	 0 	 40 	 1.020990 
row10 	 0 	 41 	 1.013610 
row10 	 0 	 42 	 1.006500 
row10 	 0 	 43 	 1.000000 
row10 	 0 	 44 	 1.000000 
row10 	 0 	 45 	 1.000000 
row10 	 0 	 46 	 1.000000 
row10 	 0 	 47 	 1.000000 
row10 	 0 	 48 	 1.000000 
row10 	 0 	 49 	 1.000000 
row10 	 0 	 50 	 1.000000 
row10 	 0 	 51 	 1.000000 
row10 	 0 	 52 	 1.000000 
row10 	 0 	 53 	 1.000000 
row10 	 0 	 54 	 1.000000 
row10 	 0 	 55 	 1.000000 
row10 	 0 	 56 	 1.000000 
row10 	 0 	 57 	 1.000000 
row10 	 0 	 58 	 1.000000 
row10 	 0 	 59 	 1.000000 
row10 	 0 	 60 	 1.000000 
row10 	 0 	 61 	 1.000000 
row10 	 0 	 62 	 1.000000 
row10 	 0 	 63 	 1.000000 
row10 	 0 	 64 	 1.000000 
row10 	 0 	 65 	 1.000000 
row10 	 0 	 66 	 1.000000 
row10 	 0 	 67 	 1.000000 
row10 	 0 	 68 	 1.000000 
row10 	 0 	 69 	 1.000000 
row10 	 0 	 70 	 1.000000 
row10 	 0 	 71 	 1.000000 
row10 	 0 	 72 	 1.000000 
row10 	 0 	 73 	 1.000000 
row10 	 0 	 74 	 1.000000 
row10 	 0 	 75 	 1.000000 
row10 	 0 	 76 	 1.000000 
row10 	 1 	 -70 	 1.000000 
row10 	 1 	 -69 	 1.000000 
row10 	 1 	 -68 	 1.000000 
row10 	 1 	 -67 	 1.000000 
row10 	 1 	 -66 	 1.000000 
row10 	 1 	 -65 	 1.000000 
row10 	 1 	 -64 	 1.000000 
row10 	 1 	 -63 	 1.000000 
row10 	 1 	 -62 	 1.000000 
row10 	 1 	 -61 	 1.000000 
row10 	 1 	 -60 	 1.000000 
row10 	 1 	 -59 	 1.000000 
row10 	 1 	 -58 	 1.000000 
row10 	 1 	 -57 	 1.000000 
row10 	 1 	 -56 	 1.000000 
row10 	 1 	 -55 	 1.000000 
row10 	 1 	 -54 	 1.000000 
row10 	 1 	 -53 	 1.000000 
row10 	 1 	 -52 	 1.000000 
row10 	 1 	 -51 	 1.000000 
row10 	 1 	 -50 	 1.000000 
row10 	 1 	 -49 	 1.000000 
row10 	 1 	 -48 	 1.000000 
row10 	 1 	 -47 	 1.000000 
row10 	 1 	 -46 	 1.000000 
row10 	 1 	 -45 	 1.000000 
row10 	 1 	 -44 	 1.000000 
row10 	 1 	 -43 	 1.000000 
row10 	 1 	 -42 	 1.000000 
row10 	 1 	 -41 	 1.000000 
row10 	 1 	 -40 	 1.000000 
row10 	 1 	 -39 	 1.000000 
row10 	 1 	 -38 	 1.000000 
row10 	 1 	 -37 	 1.000000 
row10 	 1 	 -36 	 0.993701 
row10 	 1 	 -35 	 0.986829 
row10 	 1 	 -34 	 0.979837 
row10 	 1 	 -33 	 0.972722 
row10 	 1 	 -32 	 0.965479 
row10 	 1 	 -31 	 0.958105 
row10 	 1 	 -30 	 0.950597 
row10 	 1 	 -29 	 0.942949 
row10 	 1 	 -28 	 0.935159 
row10 	 1 	 -27 	 0.927223 
row10 	 1 	 -26 	 0.919137 
row10 	 1 	 -25 	 0.910899 
row10 	 1 	 -24 	 0.902508 
row10 	 1 	 -23 	 0.893960 
row10 	 1 	 -22 	 0.885257 
row10 	 1 	 -21 	 0.876401 
row10 	 1 	 -20 	 0.867394 
row10 	 1 	 -19 	 0.858242 
row10 	 1 	 -18 	 0.848958 
row10 	 1 	 -17 	 0.839554 
row10 	 1 	 -16 	 0.830054 
row10 	 1 	 -15 	 0.820487 
row10 	 1 	 -14 	 0.810893 
row10 	 1 	 -13 	 0.801329 
row10 	 1 	 -12 	 0.791869 
row10 	 1 	 -11 	 0.782612 
row10 	 1 	 -10 	 0.773690 
row10 	 1 	 -9 	 0.765274 
row10 	 1 	 -8 	 0.757588 
row10 	 1 	 -7 	 0.750921 
row10 	 1 	 -6 	 0.745639 
row10 	 1 	 -5 	 0.742202 
row10 	 1 	 -4 	 0.741175 
row10 	 1 	 -3 	 0.743265 
row10 	 1 	 -2 	 0.772510 
row10 	 1 	 -1 	 0.812105 
row10 	 1 	 0 	 0.857783 
row10 	 1 	 1 	 0.909778 
row10 	 1 	 2 	 0.968002 
row10 	 1 	 3 	 1.031900 
row10 	 1 	 4 	 1.100340 
row10 	 1 	 5 	 1.171580 
row10 	 1 	 6 	 1.243460 
row10 	 1 	 7 	 1.313710 
row10 	 1 	 8 	 1.380350 
row10 	 1 	 9 	 1.430910 
row10 	 1 	 10 	 1.423000 
row10 	 1 	 11 	 1.411030 
row10 	 1 	 12 	 1.396100 
row10 	 1 	 13 	 1.379180 
row10 	 1 	 14 	 1.361040 
row10 	 1 	 15 	 1.342310 
row10 	 1 	 16 	 1.323420 
row10 	 1 	 17 	 1.304690 
row10 	 1 	 18 	 1.286330 
row10 	 1 	 19 	 1.268470 
row10 	 1 	 20 	 1.251210 
row10 	 1 	 21 	 1.234590 
row10 	 1 	 22 	 1.218630 
