dummy 	 x 	 y 	 A 
abr10 	 0 	 -70 	 1.000000 
abr10 	 0 	 -69 	 1.000000 
abr10 	 0 	 -68 	 1.000000 
abr10 	 0 	 -67 	 1.000000 
abr10 	 0 	 -66 	 1.000000 
abr10 	 0 	 -65 	 1.000000 
abr10 	 0 	 -64 	 1.000000 
abr10 	 0 	 -63 	 1.000000 
abr10 	 0 	 -62 	 1.000000 
abr10 	 0 	 -61 	 1.000000 
abr10 	 0 	 -60 	 1.000000 
abr10 	 0 	 -59 	 1.000000 
abr10 	 0 	 -58 	 1.000000 
abr10 	 0 	 -57 	 1.000000 
abr10 	 0 	 -56 	 1.000000 
abr10 	 0 	 -55 	 1.000000 
abr10 	 0 	 -54 	 1.000000 
abr10 	 0 	 -53 	 1.000000 
abr10 	 0 	 -52 	 1.000000 
abr10 	 0 	 -51 	 1.000000 
abr10 	 0 	 -50 	 1.000000 
abr10 	 0 	 -49 	 1.000000 
abr10 	 0 	 -48 	 1.000000 
abr10 	 0 	 -47 	 1.000000 
abr10 	 0 	 -46 	 1.000000 
abr10 	 0 	 -45 	 1.000000 
abr10 	 0 	 -44 	 1.000000 
abr10 	 0 	 -43 	 1.000000 
abr10 	 0 	 -42 	 1.000000 
abr10 	 0 	 -41 	 1.000000 
abr10 	 0 	 -40 	 1.000000 
abr10 	 0 	 -39 	 1.002100 
abr10 	 0 	 -38 	 1.004300 
abr10 	 0 	 -37 	 1.006500 
abr10 	 0 	 -36 	 1.008800 
abr10 	 0 	 -35 	 1.011000 
abr10 	 0 	 -34 	 1.013200 
abr10 	 0 	 -33 	 1.015400 
abr10 	 0 	 -32 	 1.017700 
abr10 	 0 	 -31 	 1.019900 
abr10 	 0 	 -30 	 1.022200 
abr10 	 0 	 -29 	 1.024400 
abr10 	 0 	 -28 	 1.026700 
abr10 	 0 	 -27 	 1.029000 
abr10 	 0 	 -26 	 1.031200 
abr10 	 0 	 -25 	 1.033500 
abr10 	 0 	 -24 	 1.035800 
abr10 	 0 	 -23 	 1.038100 
abr10 	 0 	 -22 	 1.040400 
abr10 	 0 	 -21 	 1.042700 
abr10 	 0 	 -20 	 1.045000 
abr10 	 0 	 -19 	 1.047300 
abr10 	 0 	 -18 	 1.049600 
abr10 	 0 	 -17 	 1.051900 
abr10 	 0 	 -16 	 1.054200 
abr10 	 0 	 -15 	 1.056600 
abr10 	 0 	 -14 	 1.058900 
abr10 	 0 	 -13 	 1.061200 
abr10 	 0 	 -12 	 1.063600 
abr10 	 0 	 -11 	 1.065900 
abr10 	 0 	 -10 	 1.068300 
abr10 	 0 	 -9 	 1.068400 
abr10 	 0 	 -8 	 1.068400 
abr10 	 0 	 -7 	 1.068400 
abr10 	 0 	 -6 	 1.068400 
abr10 	 0 	 -5 	 1.068400 
abr10 	 0 	 -4 	 1.068400 
abr10 	 0 	 -3 	 1.068400 
