dummy 	 x 	 y 	 A 
spu08 	 0 	 -70 	 1.000000 
spu08 	 0 	 -69 	 1.006240 
spu08 	 0 	 -68 	 1.012514 
spu08 	 0 	 -67 	 1.018822 
spu08 	 0 	 -66 	 1.025164 
spu08 	 0 	 -65 	 1.031539 
spu08 	 0 	 -64 	 1.037948 
spu08 	 0 	 -63 	 1.044391 
spu08 	 0 	 -62 	 1.050866 
spu08 	 0 	 -61 	 1.057374 
spu08 	 0 	 -60 	 1.063915 
spu08 	 0 	 -59 	 1.070487 
spu08 	 0 	 -58 	 1.077092 
spu08 	 0 	 -57 	 1.083727 
spu08 	 0 	 -56 	 1.090394 
spu08 	 0 	 -55 	 1.097090 
spu08 	 0 	 -54 	 1.103816 
spu08 	 0 	 -53 	 1.110571 
spu08 	 0 	 -52 	 1.117353 
spu08 	 0 	 -51 	 1.124163 
spu08 	 0 	 -50 	 1.130999 
spu08 	 0 	 -49 	 1.137860 
spu08 	 0 	 -48 	 1.144745 
spu08 	 0 	 -47 	 1.151653 
spu08 	 0 	 -46 	 1.158582 
spu08 	 0 	 -45 	 1.165531 
spu08 	 0 	 -44 	 1.172497 
spu08 	 0 	 -43 	 1.179480 
spu08 	 0 	 -42 	 1.186477 
spu08 	 0 	 -41 	 1.193485 
spu08 	 0 	 -40 	 1.200502 
spu08 	 0 	 -39 	 1.200202 
spu08 	 0 	 -38 	 1.199885 
spu08 	 0 	 -37 	 1.199552 
spu08 	 0 	 -36 	 1.199199 
spu08 	 0 	 -35 	 1.198825 
spu08 	 0 	 -34 	 1.198430 
spu08 	 0 	 -33 	 1.198010 
spu08 	 0 	 -32 	 1.197565 
spu08 	 0 	 -31 	 1.197092 
spu08 	 0 	 -30 	 1.196589 
spu08 	 0 	 -29 	 1.196053 
spu08 	 0 	 -28 	 1.195482 
spu08 	 0 	 -27 	 1.194871 
spu08 	 0 	 -26 	 1.194219 
spu08 	 0 	 -25 	 1.193520 
spu08 	 0 	 -24 	 1.192770 
spu08 	 0 	 -23 	 1.191965 
spu08 	 0 	 -22 	 1.191099 
spu08 	 0 	 -21 	 1.190165 
spu08 	 0 	 -20 	 1.189157 
spu08 	 0 	 -19 	 1.188067 
spu08 	 0 	 -18 	 1.186886 
spu08 	 0 	 -17 	 1.185604 
spu08 	 0 	 -16 	 1.184208 
spu08 	 0 	 -15 	 1.182687 
spu08 	 0 	 -14 	 1.181025 
spu08 	 0 	 -13 	 1.179204 
spu08 	 0 	 -12 	 1.177205 
spu08 	 0 	 -11 	 1.175005 
spu08 	 0 	 -10 	 1.172576 
spu08 	 0 	 -9 	 1.169889 
spu08 	 0 	 -8 	 1.166907 
spu08 	 0 	 -7 	 1.163588 
spu08 	 0 	 -6 	 1.159883 
spu08 	 0 	 -5 	 1.155734 
spu08 	 0 	 -4 	 1.151074 
spu08 	 0 	 -3 	 1.145823 
spu08 	 0 	 -2 	 1.139888 
spu08 	 0 	 -1 	 1.133158 
spu08 	 0 	 0 	 1.125506 
spu08 	 0 	 1 	 1.106986 
spu08 	 0 	 2 	 1.087285 
spu08 	 0 	 3 	 1.066322 
spu08 	 0 	 4 	 1.044029 
spu08 	 0 	 5 	 1.020365 
spu08 	 0 	 6 	 1.006401 
spu08 	 0 	 7 	 0.990433 
spu08 	 0 	 8 	 0.972270 
spu08 	 0 	 9 	 0.951776 
spu08 	 0 	 10 	 0.928920 
spu08 	 0 	 11 	 0.903819 
spu08 	 0 	 12 	 0.876790 
spu08 	 0 	 13 	 0.849553 
spu08 	 0 	 14 	 0.849553 
spu08 	 0 	 15 	 0.849553 
spu08 	 0 	 16 	 0.849553 
spu08 	 0 	 17 	 0.849553 
spu08 	 0 	 18 	 0.876790 
spu08 	 0 	 19 	 0.903819 
spu08 	 0 	 20 	 0.928920 
spu08 	 0 	 21 	 0.951776 
spu08 	 0 	 22 	 0.972270 
spu08 	 0 	 23 	 0.990433 
spu08 	 0 	 24 	 1.006401 
spu08 	 0 	 25 	 1.020365 
spu08 	 0 	 26 	 1.044029 
spu08 	 0 	 27 	 1.066322 
spu08 	 0 	 28 	 1.087285 
spu08 	 0 	 29 	 1.106986 
spu08 	 0 	 30 	 1.125506 
spu08 	 0 	 31 	 1.142930 
spu08 	 0 	 32 	 1.159347 
spu08 	 0 	 33 	 1.174837 
spu08 	 0 	 34 	 1.189481 
spu08 	 0 	 35 	 1.203348 
spu08 	 0 	 36 	 1.216507 
spu08 	 0 	 37 	 1.229016 
spu08 	 0 	 38 	 1.240930 
spu08 	 0 	 39 	 1.252298 
spu08 	 0 	 40 	 1.263164 
spu08 	 0 	 41 	 1.273567 
spu08 	 0 	 42 	 1.283545 
spu08 	 0 	 43 	 1.293128 
spu08 	 0 	 44 	 1.302347 
spu08 	 0 	 45 	 1.311226 
spu08 	 0 	 46 	 1.319791 
spu08 	 0 	 47 	 1.328063 
spu08 	 0 	 48 	 1.336061 
spu08 	 0 	 49 	 1.343803 
spu08 	 0 	 50 	 1.351305 
spu08 	 0 	 51 	 1.358583 
spu08 	 0 	 52 	 1.365649 
spu08 	 0 	 53 	 1.372516 
spu08 	 0 	 54 	 1.379196 
spu08 	 0 	 55 	 1.385698 
spu08 	 0 	 56 	 1.392033 
spu08 	 0 	 57 	 1.398210 
spu08 	 0 	 58 	 1.404236 
spu08 	 0 	 59 	 1.410120 
spu08 	 0 	 60 	 1.415868 
spu08 	 0 	 61 	 1.421487 
spu08 	 0 	 62 	 1.426983 
spu08 	 0 	 63 	 1.432361 
spu08 	 0 	 64 	 1.437628 
spu08 	 0 	 65 	 1.442787 
spu08 	 0 	 66 	 1.447844 
spu08 	 0 	 67 	 1.452803 
spu08 	 0 	 68 	 1.457668 
spu08 	 0 	 69 	 1.462443 
spu08 	 0 	 70 	 1.467131 
spu08 	 0 	 71 	 1.471736 
spu08 	 0 	 72 	 1.476260 
spu08 	 0 	 73 	 1.480708 
spu08 	 0 	 74 	 1.485081 
spu08 	 0 	 75 	 1.489383 
spu08 	 0 	 76 	 1.493616 
spu08 	 0 	 77 	 1.497782 
spu08 	 0 	 78 	 1.501884 
spu08 	 0 	 79 	 1.505923 
spu08 	 0 	 80 	 1.509903 
spu08 	 0 	 81 	 1.510243 
spu08 	 0 	 82 	 1.510568 
spu08 	 0 	 83 	 1.510880 
spu08 	 0 	 84 	 1.511178 
spu08 	 0 	 85 	 1.511464 
spu08 	 0 	 86 	 1.511738 
spu08 	 0 	 87 	 1.512001 
spu08 	 0 	 88 	 1.512254 
spu08 	 0 	 89 	 1.512497 
spu08 	 0 	 90 	 1.512730 
spu08 	 0 	 91 	 1.512954 
spu08 	 0 	 92 	 1.513170 
spu08 	 0 	 93 	 1.513378 
spu08 	 0 	 94 	 1.513578 
spu08 	 0 	 95 	 1.513771 
spu08 	 0 	 96 	 1.513956 
spu08 	 0 	 97 	 1.514136 
spu08 	 0 	 98 	 1.514308 
spu08 	 0 	 99 	 1.514475 
spu08 	 0 	 100 	 1.514636 
spu08 	 0 	 101 	 1.514792 
spu08 	 0 	 102 	 1.514942 
spu08 	 0 	 103 	 1.515087 
spu08 	 0 	 104 	 1.515228 
spu08 	 0 	 105 	 1.515364 
spu08 	 0 	 106 	 1.515495 
spu08 	 0 	 107 	 1.515622 
spu08 	 0 	 108 	 1.515746 
spu08 	 0 	 109 	 1.515865 
spu08 	 0 	 110 	 1.515981 
spu08 	 0 	 111 	 1.516093 
spu08 	 0 	 112 	 1.516202 
spu08 	 0 	 113 	 1.516307 
spu08 	 0 	 114 	 1.516410 
spu08 	 0 	 115 	 1.516509 
spu08 	 0 	 116 	 1.516605 
spu08 	 0 	 117 	 1.516699 
spu08 	 0 	 118 	 1.516790 
spu08 	 0 	 119 	 1.516878 
spu08 	 0 	 120 	 1.516964 
spu08 	 0 	 121 	 1.496118 
spu08 	 0 	 122 	 1.475551 
spu08 	 0 	 123 	 1.455260 
spu08 	 0 	 124 	 1.435241 
spu08 	 0 	 125 	 1.415491 
spu08 	 0 	 126 	 1.396006 
spu08 	 0 	 127 	 1.376785 
spu08 	 0 	 128 	 1.357822 
spu08 	 0 	 129 	 1.339115 
spu08 	 0 	 130 	 1.320661 
spu08 	 0 	 131 	 1.302457 
spu08 	 0 	 132 	 1.284500 
spu08 	 0 	 133 	 1.266785 
spu08 	 0 	 134 	 1.249311 
spu08 	 0 	 135 	 1.232075 
