dummy 	 x 	 y 	 A 
som97 	 -70 	 -70 	 0.857833 
som97 	 -70 	 -69 	 0.857625 
som97 	 -70 	 -68 	 0.857413 
som97 	 -70 	 -67 	 0.857196 
som97 	 -70 	 -66 	 0.856974 
som97 	 -70 	 -65 	 0.856748 
som97 	 -70 	 -64 	 0.856517 
som97 	 -70 	 -63 	 0.856280 
som97 	 -70 	 -62 	 0.856039 
som97 	 -70 	 -61 	 0.855793 
som97 	 -70 	 -60 	 0.855541 
som97 	 -70 	 -59 	 0.855284 
som97 	 -70 	 -58 	 0.855022 
som97 	 -70 	 -57 	 0.854754 
som97 	 -70 	 -56 	 0.854480 
som97 	 -70 	 -55 	 0.854200 
som97 	 -70 	 -54 	 0.853915 
som97 	 -70 	 -53 	 0.853624 
som97 	 -70 	 -52 	 0.853326 
som97 	 -70 	 -51 	 0.853023 
som97 	 -70 	 -50 	 0.852713 
som97 	 -70 	 -49 	 0.852396 
som97 	 -70 	 -48 	 0.852073 
som97 	 -70 	 -47 	 0.851744 
som97 	 -70 	 -46 	 0.851408 
som97 	 -70 	 -45 	 0.851065 
som97 	 -70 	 -44 	 0.850715 
som97 	 -70 	 -43 	 0.850358 
som97 	 -70 	 -42 	 0.849994 
som97 	 -70 	 -41 	 0.849623 
som97 	 -70 	 -40 	 0.849245 
som97 	 -70 	 -39 	 0.848860 
som97 	 -70 	 -38 	 0.848467 
som97 	 -70 	 -37 	 0.848067 
som97 	 -70 	 -36 	 0.847659 
som97 	 -70 	 -35 	 0.847244 
som97 	 -70 	 -34 	 0.846821 
som97 	 -70 	 -33 	 0.846391 
som97 	 -70 	 -32 	 0.845953 
som97 	 -70 	 -31 	 0.845508 
som97 	 -70 	 -30 	 0.845055 
som97 	 -70 	 -29 	 0.844594 
som97 	 -70 	 -28 	 0.844126 
som97 	 -70 	 -27 	 0.843651 
som97 	 -70 	 -26 	 0.843168 
som97 	 -70 	 -25 	 0.842677 
som97 	 -70 	 -24 	 0.842179 
som97 	 -70 	 -23 	 0.841674 
som97 	 -70 	 -22 	 0.841161 
som97 	 -70 	 -21 	 0.840642 
som97 	 -70 	 -20 	 0.840115 
som97 	 -70 	 -19 	 0.839582 
som97 	 -70 	 -18 	 0.839042 
som97 	 -70 	 -17 	 0.838495 
som97 	 -70 	 -16 	 0.837942 
som97 	 -70 	 -15 	 0.837383 
som97 	 -70 	 -14 	 0.836817 
som97 	 -70 	 -13 	 0.836246 
som97 	 -70 	 -12 	 0.835670 
som97 	 -70 	 -11 	 0.835088 
som97 	 -70 	 -10 	 0.834501 
som97 	 -70 	 -9 	 0.833910 
som97 	 -70 	 -8 	 0.833313 
som97 	 -70 	 -7 	 0.832713 
som97 	 -70 	 -6 	 0.832109 
som97 	 -70 	 -5 	 0.831501 
som97 	 -70 	 -4 	 0.830890 
som97 	 -70 	 -3 	 0.830277 
som97 	 -70 	 -2 	 0.829660 
som97 	 -70 	 -1 	 0.829042 
som97 	 -70 	 0 	 0.828422 
som97 	 -70 	 1 	 0.827303 
som97 	 -70 	 2 	 0.826432 
